"contrast","haptic","arithmatic","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value","contrast_label","p_label"
"visual0 - visual1","0",1,0.085673092603401,0.022015169563632,161.000000000002,0.0421973576078529,0.129148827598949,3.89154815981652,0.0001455370534484,"visual0 vs visual1","< .001"
"visual0 - visual1","1",0,0.0768221538230787,0.022015169563632,161.000000000002,0.0333464188275306,0.120297888818627,3.48950997633855,0.000624326572512922,"visual0 vs visual1","< .001"
"visual0 - visual1","1",1,0.0584329282620182,0.022015169563632,161,0.01495719326647,0.101908663257566,2.65421204652207,0.00874703327745454,"visual0 vs visual1","0.009"
"visual0 - visual1","0",0,0.0255751842082805,0.0220151695636321,161.000000000002,-0.0179005507872677,0.0690509192038286,1.16170734612598,0.247073692308478,"visual0 vs visual1","0.247"
