"contrast","visual","arithmatic","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value","contrast_label","p_label"
"haptic0 - haptic1","0",0,-0.0491722263189173,0.0220151695636321,161.000000000002,-0.0926479613144655,-0.00569649132336913,-2.23356109871383,0.0268898727970829,"haptic0 vs haptic1","0.027"
"haptic0 - haptic1","1",1,-0.0299269263886387,0.022015169563632,161,-0.0734026613841868,0.0135488086069095,-1.35937751022715,0.175927946136678,"haptic0 vs haptic1","0.176"
"haptic0 - haptic1","0",1,-0.00268676204725581,0.022015169563632,161.000000000002,-0.0461624970428039,0.0407889729482923,-0.122041396932695,0.903018429721395,"haptic0 vs haptic1","0.903"
"haptic0 - haptic1","1",0,0.00207474329588095,0.022015169563632,161.000000000002,-0.0414009916996672,0.0455504782914291,0.0942415314987317,0.925034477607243,"haptic0 vs haptic1","0.925"
