"contrast","visual","haptic","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value","contrast_label","p_label"
"arithmatic0 - arithmatic1","1","0",0.0576658680084096,0.022015169563632,161.000000000002,0.0141901330128614,0.101141603003958,2.61936969605134,0.00965120863446861,"arithmatic0 vs arithmatic1","0.010"
"arithmatic0 - arithmatic1","0","1",0.0440534238849505,0.022015169563632,161.000000000002,0.000577688889402364,0.0875291588804986,2.00104858414193,0.0470675197678515,"arithmatic0 vs arithmatic1","0.047"
"arithmatic0 - arithmatic1","1","1",0.0256641983238899,0.022015169563632,161,-0.0178115366716582,0.0691399333194381,1.16575065432546,0.245439366214655,"arithmatic0 vs arithmatic1","0.245"
"arithmatic0 - arithmatic1","0","0",-0.00243204038671099,0.0220151695636321,161.000000000002,-0.0459077753822591,0.0410436946088372,-0.110471117639203,0.912173341675723,"arithmatic0 vs arithmatic1","0.912"
